"X","Y","crater_id","cfield_id"
38.5013515863,47.714078639,157,4
38.5010566085,47.714158027,158,20000
38.5004881059,47.7145297055,159,20000
38.5004291103,47.7146127013,160,20000
38.5006329131,47.714710131,161,20000
38.5004773794,47.7148761219,162,20000
38.5010995143,47.7145116629,163,4
38.5036470497,47.7152081022,164,4
38.5013891289,47.7151323242,165,4
38.5013140436,47.7153163561,166,4
38.5030195515,47.7156699842,167,4
38.5043521757,47.7138251655,168,4
38.502630634,47.7161923145,169,4
38.4596132652,47.7785437414,170,5
38.4602245382,47.7774735554,171,5
38.4615543251,47.7786410299,172,5
38.4618063411,47.7784536592,173,5
38.463136128,47.7782230482,174,5
38.4632487309,47.7783095275,175,5
38.4633077134,47.778414023,176,5
38.4628787499,47.7787779542,177,5
38.462648182,47.7788103836,178,5
38.4629323703,47.7790157692,179,5
38.461913582,47.7768177404,180,5
38.4595810929,47.779188725,181,5
38.4602567104,47.7796355245,182,5
38.5023704293,47.7541104851,183,6
38.5043229703,47.7538688575,184,6
38.5036470908,47.7548029043,185,6
38.5031857761,47.7549038813,186,6
38.5030838578,47.7553041811,187,6
38.5079276614,47.7531403615,188,6
38.5061145876,47.7551310789,189,6
38.5093813389,47.7534360888,190,6
38.5096602734,47.7534829723,191,6
38.5102235063,47.7537859104,192,6
38.5093491542,47.7536236224,193,6
38.5093920672,47.7537065697,194,6
38.5088610189,47.753995081,195,6
38.5087912853,47.7543809624,196,6
38.5093759748,47.7544747276,197,6
38.5100464903,47.7550445275,198,6
38.5103039682,47.7550986221,199,6
38.5108350164,47.7546117686,200,6
38.5101913216,47.7548353612,201,6
38.5101859575,47.7549255192,202,6
38.5115162601,47.7547091397,203,6
38.5116879121,47.7549724013,204,6
38.5117522816,47.7550625591,205,6
38.5119775748,47.7547992979,206,6
38.5120955855,47.7551779608,207,6
38.5107545546,47.7552356616,208,6
38.5086786387,47.7551887797,209,6
38.508909296,47.7552825434,210,6
38.5080081233,47.7555385895,211,6
38.5082226882,47.7556431714,212,6
38.5081368622,47.7559352782,213,6
38.5090326709,47.7564617877,214,6
38.5090004861,47.7569774733,215,6
38.5097568276,47.7569558362,216,6
38.5100089414,47.7564437566,217,6
38.510121588,47.7561949274,218,6
38.5110549455,47.7562129585,219,6
38.5113607005,47.7561660776,220,6
38.5112641463,47.7568440446,221,6
38.5119722106,47.7568765003,222,6
38.5122350527,47.7566420979,223,6
38.5124013405,47.7564149069,224,6
38.513071856,47.7564185131,225,6
38.5127714651,47.7558631532,226,6
38.5124281611,47.7557585718,227,6
38.512159955,47.7557225092,228,6
38.512202868,47.7556467777,229,6
38.5118917488,47.7556575965,230,6
38.5134848935,47.7557080842,231,6
38.51350635,47.7558559407,232,6
38.5123476993,47.7569738671,233,6
38.5121116779,47.757302028,234,6
38.5077506453,47.7569089559,235,6
38.5071552276,47.7572407234,236,6
38.508431889,47.7575003661,237,6
38.5108081958,47.757633793,238,6
38.5111568638,47.7576698543,239,6
38.5111139509,47.7577347646,240,6
38.5121438626,47.7577095217,241,6
38.5116074502,47.7580232536,242,6
38.5111085867,47.7581242243,243,6
38.5082012317,47.7580665268,244,6
38.5116771838,47.7584307416,245,6
38.5119829389,47.7585858025,246,6
38.5110495814,47.7588490445,247,6
38.5104380713,47.7589860741,248,6
38.5057981043,47.7580412841,249,6
38.5064310709,47.7583766504,250,6
38.5067421901,47.757936707,251,6
38.504178139,47.7586903783,252,6
38.503657819,47.7580701329,253,6
38.5022577827,47.7582612558,254,6
38.501619452,47.7573669387,255,6
38.5008845671,47.7575941256,256,6
38.5007558281,47.7578501603,257,6
38.5020861308,47.7582792862,258,6
38.5053689745,47.7587516812,259,6
38.5060609464,47.7591194972,260,6
38.5049881217,47.7592276779,261,6
38.5035612648,47.7589572258,262,6
38.5023597011,47.7588562566,263,6
38.5037060961,47.759245708,264,6
38.5131362255,47.7574138186,265,6
38.5141822296,47.7574859415,266,6
38.51506731,47.7573597264,267,6
38.5148581092,47.7568692879,268,6
38.5154213421,47.7565916111,269,6
38.5157592819,47.7563427826,270,6
38.5158397438,47.7572371172,271,6
38.5163386073,47.7570820523,272,6
38.5152657825,47.757749189,273,6
38.5151853207,47.7577275523,274,6
38.5140213059,47.7583369835,275,71
38.5154427986,47.7582504375,276,71
38.5155769017,47.7586002268,277,71
38.5163171508,47.7584740144,278,71
38.516327879,47.7584199233,279,71
38.5112212333,47.7592853742,280,71
38.5110978585,47.7593611004,281,71
38.5108403806,47.7593466764,282,71
38.5111139509,47.7595233706,283,71
38.5112534181,47.7594332206,284,71
38.5113553364,47.7599380588,285,71
38.513940844,47.759094255,286,71
38.5135707195,47.7597866079,287,71
38.5141017677,47.759920029,288,71
38.5152014131,47.7599596946,289,71
38.5149224786,47.7602157178,290,71
38.5149492993,47.7603563497,291,71
38.5150780382,47.7591988297,292,71
38.5102932399,47.7600209961,293,71
38.5106258156,47.7603707734,294,71
38.5110281249,47.7604464981,295,71
38.5110817661,47.7607566076,296,71
38.5094618008,47.7605222227,297,6
38.509601268,47.7606808833,298,6
38.5110388531,47.7608323317,299,71
38.5109637554,47.7609729619,300,71
38.5124764383,47.7613335505,301,71
38.5128841117,47.7611893153,302,71
38.5129699376,47.7611496506,303,71
38.5127178238,47.7607421839,304,71
38.5133400622,47.7609296911,305,71
38.5137048226,47.760652036,306,71
38.5143270609,47.7609080557,307,71
38.509209687,47.7607962726,308,6
38.5088449266,47.7611712859,309,6
38.5086303616,47.7609837796,310,6
38.5085016227,47.7615246614,311,6
38.5086089051,47.7615102379,312,6
38.5088449266,47.7615679317,313,6
38.5089361167,47.7614922086,314,6
38.5083460631,47.7614849969,315,6
38.5082387806,47.7616003844,316,6
38.5082924218,47.7616725014,317,6
38.5076809117,47.7612542212,318,6
38.5075521728,47.7615210555,319,6
38.5077989225,47.7616328371,320,6
38.5085928128,47.7616292312,321,6
38.5088288342,47.7617049541,322,6
38.5083889761,47.7618816403,323,6
38.5064310709,47.7613587916,324,6
38.505824925,47.7614128796,325,6
38.5047628285,47.7613587916,326,6
38.5048540186,47.7607169425,327,6
38.5080671286,47.7601327808,328,6
38.5075789934,47.759916423,329,6
38.5073805208,47.7597108822,330,6
38.5060716746,47.7599813304,331,6
38.5055942676,47.7598190617,332,6
38.5057015501,47.7600714795,333,6
38.5056479089,47.7602193237,334,6
38.5059697563,47.7596531864,335,6
38.5042049596,47.7601652344,336,6
38.5043980681,47.7610234444,337,6
38.5088395624,47.7594404326,338,6
38.5078471996,47.7590221344,339,6
38.5041513184,47.7597253062,340,6
38.5031428631,47.7600209961,341,6
38.5035880854,47.7602842308,342,6
38.5033198792,47.7608106962,343,6
38.5065008045,47.7608106962,344,6
38.5070103963,47.761932122,345,6
38.5080564004,47.7622386168,346,6
38.5061789571,47.7616761073,347,6
38.5004071601,47.7602878367,348,6
38.4956062694,47.7589211654,349,6
38.4951610472,47.7584559841,350,6
38.4959549375,47.7584595902,351,6
38.4946836402,47.7589031352,352,6
38.500101405,47.756991898,353,6
38.4969097515,47.7565880049,354,6
38.4956706389,47.7567502838,355,6
38.497928935,47.7551995986,356,6
38.5033735205,47.7515498967,357,6
38.5056049959,47.7522495629,358,6
38.5062057777,47.7522387434,359,6
38.5062862396,47.7524298878,360,6
38.5064310709,47.7520944831,361,6
38.5065276252,47.7519574354,362,6
38.5054065233,47.7516472735,363,6
38.5045053505,47.7515895687,364,6
38.504392704,47.7512253061,365,6
38.5035827213,47.7519646484,366,6
38.5017213704,47.7510810429,367,6
38.5009328442,47.750814155,368,6
38.5049505728,47.7504787399,369,20000
38.5069245703,47.7506121849,370,20000
38.5069889398,47.7507059568,371,20000
38.5067958313,47.7508285814,372,20000
38.506259419,47.7514344869,373,6
38.5102556911,47.7520944831,374,20000
38.5113392441,47.7527364385,375,6
38.511248054,47.7527075868,376,6
38.5111568638,47.7525236564,377,6
38.5108779294,47.7530177424,378,6
38.5110495814,47.7527725032,379,6
38.5117904534,47.7531201077,380,6
38.5119727629,47.7532859395,381,6
38.5123266578,47.7535887614,382,6
38.5120317454,47.7536067864,383,6
38.5150559381,47.7522080235,384,20000
38.5144446651,47.7524567754,385,20000
38.5152382476,47.752189998,386,20000
38.5162409498,47.7524495652,387,20000
38.5166055688,47.7521070804,388,20000
38.5124875191,47.7511913733,389,20000
38.5123963643,47.7512310303,390,20000
38.512235503,47.7512598717,391,20000
38.5119137804,47.7509750622,392,20000
38.5120692797,47.7514725764,393,20000
38.5120156592,47.7516600443,394,20000
38.5118976943,47.7517754089,395,20000
38.5155385221,47.754371043,396,6
38.5153186783,47.7545440807,397,6
38.5157422798,47.7547243277,398,6
38.5159245893,47.7547026981,399,6
38.516744982,47.754280919,400,6
38.5165465864,47.7539456563,401,6
38.5159245893,47.7536536515,402,20000
38.5173026345,47.7541331153,403,6
38.5181337514,47.7540790406,404,20000
38.5165948447,47.7547315375,405,6
38.5160747265,47.7549586478,406,6
38.5163321046,47.7549658576,407,6
38.5158656068,47.7549694625,408,6
38.5158656068,47.7550451657,409,6
38.5156725732,47.7552542501,410,6
38.5152328856,47.7548973642,411,6
38.5151256447,47.7549802773,412,6
38.5146376987,47.7550379559,413,6
38.514546544,47.7553227431,414,6
38.5147824739,47.7554164702,415,6
38.5134902213,47.7550523755,416,6
38.5136242724,47.7550307461,417,6
38.5135545658,47.7549298084,418,6
38.5142301834,47.7538483216,419,6
38.5130344476,47.7540790406,420,6
38.5126376563,47.7543061537,421,6
38.5131899468,47.7545585005,422,6
38.516627017,47.7564258283,423,6
38.51747422,47.7568043325,424,6
38.5178549251,47.7570602719,425,6
38.5179997003,47.7572044625,426,20000
38.5184930083,47.7568872426,427,20000
38.5186163353,47.7570710862,428,20000
38.517232928,47.7574603999,429,71
38.5182624404,47.7583039031,430,71
38.5159513995,47.759035649,431,71
38.5173187207,47.7593096005,432,9
38.5152650579,47.7607334041,433,71
38.5154902637,47.7607838673,434,71
38.5156243148,47.7606360821,435,71
38.5152007133,47.7612019892,436,71
38.5153508506,47.7611587353,437,71
38.5166913615,47.7607658447,438,9
38.5163160185,47.7604414374,439,9
38.5166752754,47.7600557505,440,9
38.517967528,47.760452251,441,9
38.5177905805,47.7607225906,442,9
38.5174420477,47.7610830411,443,9
38.5165465864,47.7613786086,444,71
38.513334722,47.7612596609,445,71
38.5148575425,47.7615768542,446,71
38.5151792651,47.7616525478,447,71
38.5153294024,47.7616020854,448,71
38.5092381205,47.7620346184,449,6
38.5125465016,47.7629321129,450,71
38.5121497103,47.7631447699,451,6
38.5129808271,47.7628888605,452,71
38.5133722563,47.7625752796,453,71
38.5133776184,47.7629285085,454,71
38.510648338,47.7641683952,455,6
38.5107341307,47.7643197747,456,6
38.5105893555,47.7645252175,457,7
38.5111041118,47.7641972294,458,6
38.511382938,47.7643017533,459,6
38.5119459527,47.7645648643,460,6
38.5117904534,47.7647739105,461,7
38.5116403161,47.7648892459,462,7
38.5102569088,47.7644351111,463,7
38.5102461847,47.7645216133,464,7
38.5120746417,47.7647883274,465,8
38.5032186583,47.764242491,466,7
38.5046990744,47.7647292274,467,7
38.5040285961,47.7648878664,468,7
38.5052193656,47.76500324,469,7
38.5050530869,47.7651330349,470,7
38.5067158732,47.7642460964,471,7
38.506721237,47.7640658226,472,7
38.5068875156,47.7638567041,473,7
38.507000156,47.7638603096,474,7
38.5072629835,47.7649888183,475,7
38.5043289704,47.7644624243,476,7
38.5077077782,47.7633817715,477,20000
38.5073646074,47.7631691154,478,20000
38.5068015928,47.763608844,479,7
38.5065066804,47.7637530165,480,7
38.5065763869,47.7638791671,481,7
38.5086943943,47.7640701946,482,7
38.5084423782,47.7642468043,483,7
38.5082010862,47.7643693495,484,7
38.5091662542,47.7642936598,485,7
38.5091340819,47.7645135198,486,7
38.5076916921,47.7644882901,487,7
38.5051125489,47.7640449646,488,7
38.5041366569,47.7637025562,489,7
38.5065013183,47.7652091364,490,7
38.5081045695,47.7652776163,491,7
38.5062546643,47.7654542219,492,7
38.5042224496,47.765984035,493,20000
38.5061742336,47.765868702,494,7
38.5066031972,47.7657858062,495,7
38.5072949008,47.7658506812,496,7
38.5077024162,47.7655695558,497,7
38.5078632775,47.7656200143,498,7
38.5085871534,47.7656812853,499,7
38.5084584644,47.7658759103,500,7
38.5080938454,47.7655227014,501,7
38.5075361928,47.765364117,502,7
38.5067265242,47.7662687623,503,7
38.506946368,47.7664633852,504,7
38.5070321607,47.7666075498,505,7
38.5073860556,47.7664381563,506,7
38.5063190088,47.7662687623,507,7
38.5073324351,47.7668562327,508,7
38.5066353694,47.7671553716,509,7
38.5062868366,47.7673644073,510,7
38.5071554877,47.7673535951,511,7
38.5070053504,47.7670544574,512,7
38.5075361928,47.766989584,513,7
38.5055200643,47.7669319186,514,7
38.5056809256,47.766549884,515,7
38.508286879,47.7659849361,516,7
38.5081099315,47.7664534738,517,7
38.5060401825,47.7679852025,518,7
38.5050535665,47.7679455583,519,7
38.5039382613,47.7680392626,520,7
38.5055200643,47.7682302749,521,7
38.5060080103,47.7683456026,522,7
38.5063833534,47.7681798189,523,7
38.5083244133,47.7640819085,524,7
38.5081528279,47.76404947,525,7
38.5102654732,47.764809969,526,7
38.5101475082,47.7648496155,527,7
38.5103888002,47.7648712409,528,7
38.5102922834,47.7649937846,529,7
38.5105442994,47.7651667869,530,7
38.5107641432,47.7652893299,531,7
38.5114826571,47.76508389,532,7
38.5101046118,47.7652532879,533,7
38.5101421462,47.7654298936,534,7
38.5098311476,47.76540106,535,7
38.5111073141,47.7655524359,536,7
38.5108660221,47.7655488317,537,7
38.5105603856,47.7655920819,538,7
38.5110536936,47.7657146239,539,7
38.5107212469,47.7663741831,540,7
38.5093056673,47.7662840799,541,7
38.511954517,47.7660245817,542,7
38.5128499783,47.7659344779,543,7
38.5128982367,47.766006561,544,7
38.5124960834,47.7659813319,545,7
38.5131556148,47.7651019111,546,8
38.5139652835,47.7653145593,547,8
38.5139920937,47.7654298936,548,8
38.5144746777,47.7652460795,549,8
38.5135041477,47.7657578739,550,8
38.51353632,47.7661579351,551,8
38.513911663,47.7662300179,552,8
38.5142172995,47.7662480386,553,8
38.5144049711,47.7660137693,554,8
38.5144854017,47.7662552468,555,8
38.5148929171,47.7659633112,556,8
38.511707863,47.7663669749,557,7
38.511959879,47.7664606821,558,7
38.5122923258,47.7665652015,559,7
38.5124049287,47.7667634273,560,7
38.5126998411,47.7667634273,561,7
38.5126515827,47.7668174887,562,7
38.5132306835,47.7664931191,563,7
38.5108070396,47.7667345945,564,7
38.5113378819,47.7670049013,565,7
38.5102922834,47.7668174887,566,7
38.5104048863,47.7668643419,567,7
38.5093592877,47.7671310441,568,7
38.5089142381,47.7672103336,569,7
38.5088284454,47.7671094196,570,7
38.5087748249,47.767343684,571,7
38.5094611666,47.7673040393,572,7
38.5095898556,47.7672463743,573,7
38.5103083695,47.7673328718,574,7
38.5104424206,47.7672968312,575,7
38.5115416396,47.7670589625,576,7
38.5118580002,47.7669652564,577,7
38.5121850849,47.7669580482,578,7
38.5118151039,47.7673256637,579,7
38.5115255535,47.7666805329,580,7
38.5127480995,47.7662912882,581,7
38.5133540105,47.7663021006,582,7
38.5139491973,47.7667454068,583,8
38.5139438353,47.7668174887,584,7
38.5140189039,47.7669111951,585,7
38.5141154207,47.7669832768,586,7
38.5140564382,47.7670049013,587,7
38.5141690411,47.7666517001,588,8
38.5078740016,47.7661435186,589,7
38.5095630454,47.76764282,590,7
38.5094397184,47.7677653571,591,7
38.50939146,47.7678158135,592,7
38.5093324775,47.7678770819,593,7
38.509150168,47.7680212426,594,7
38.5091394439,47.7680680947,595,7
38.508292241,47.7682338789,596,7
38.5083029651,47.7681654029,597,7
38.5083833957,47.7679275382,598,7
38.5084799125,47.7676500281,599,7
38.5091716162,47.7682374829,600,7
38.5091984264,47.7685041779,601,7
38.5105174892,47.767891498,602,7
38.510731971,47.7683023548,603,7
38.5112145549,47.7682050469,604,7
38.51183119,47.7678590618,605,7
38.5113915024,47.7677581491,606,7
38.5120295856,47.7682627108,607,7
38.5117882936,47.7683239787,608,7
38.5124263769,47.767750941,609,7
38.5127052032,47.767754545,610,7
38.5104156104,47.7675202825,611,7
38.515488104,47.7668138846,612,7
38.5118097418,47.7687087033,613,7
38.5113861403,47.7688204261,614,7
38.5114987433,47.7689573762,615,7
38.5128178061,47.7691591969,616,7
38.5124799973,47.7688600696,617,7
38.5113325199,47.7692781265,618,7
38.5113217958,47.7693970559,619,7
38.5131234426,47.7693682246,620,7
38.5141851273,47.7691916323,621,7
38.5143245404,47.7689898117,622,7
38.5144264193,47.7689789999,623,7
38.5148339346,47.7693321854,624,7
38.5143138163,47.7694294911,625,7
38.5143674368,47.7694979655,626,7
38.514152955,47.7695304006,627,7
38.5138741287,47.7695736475,628,7
